date,electrician,ventilation,plumber,handyman,aircon
2022-10-01,10300.0,4800.0,2600.0,18000.0,7770.0
2022-11-01,11100.0,4880.0,2900.0,17700.0,8250.0
2022-12-01,9457.0,5049.0,1950.0,17550.0,8860.0
2023-01-01,8725.0,5970.0,2175.0,17979.0,4915.0
2023-02-01,10810.0,10241.0,2630.0,19800.0,4505.0
2023-03-01,12055.0,10022.0,4140.0,21250.0,8972.5
2023-04-01,6800.0,6080.0,710.0,15730.0,9070.0
2023-05-01,8100.0,5093.0,1780.0,12642.0,9415.0
2023-06-01,9855.0,3590.0,980.0,18720.0,8995.0
2023-07-01,9910.0,8269.0,2945.0,15550.0,11373.0
2023-08-01,8025.0,5215.0,2325.0,15215.0,11955.0
2023-09-01,12530.0,4430.0,3490.0,13345.0,6350.0
2023-10-01,11555.0,4326.0,2363.0,18261.0,8865.0
2023-11-01,10305.0,8065.0,4920.0,17760.0,17773.0
2023-12-01,17505.0,3964.0,2590.0,32465.0,22250.0
2024-01-01,11330.0,5395.0,3205.0,19127.0,29115.0
2024-02-01,11025.0,10729.0,570.0,19435.0,17470.0
2024-03-01,13245.0,11960.5,3813.0,18795.0,11340.0
2024-04-01,12139.0,16343.0,27285.0,19020.0,17125.0
2024-05-01,15375.0,5769.0,8560.0,21675.0,12305.0
2024-06-01,15145.0,5194.0,14533.5,17610.0,17950.0
2024-07-01,12945.0,12246.0,18275.0,21437.5,12718.0
2024-08-01,36647.0,6764.0,10014.9,23222.0,10500.0
2024-09-01,13143.0,6639.0,12975.0,27210.0,12905.0
