Reason,Period
Better Quotation Elsewhere (Other Company Better),Last 12 Months
Better Quotation Elsewhere (Other Company Better),Last 12 Months
Better Quotation Elsewhere (Other Company Better),Last 12 Months
Scheduling Conflicts (Unavailable Timeslots),Last 12 Months
Budget Limitations (Reasonable Pricing But Budget Constraints),Last 12 Months
Better Quotation Elsewhere (Other Company Better),Last 12 Months
Better Quotation Elsewhere (Other Company Better),Last 12 Months
Better Quotation Elsewhere (Other Company Better),Last 12 Months
Pricing Concerns (Too Expensive),Last 12 Months
Better Quotation Elsewhere (Other Company Better),Last 12 Months
Pricing Concerns (Too Expensive),Last 12 Months
Better Quotation Elsewhere (Other Company Better),Last 12 Months
Pricing Concerns (Too Expensive),Last 12 Months
Better Quotation Elsewhere (Other Company Better),Last 12 Months
Better Quotation Elsewhere (Other Company Better),Last 12 Months
Pricing Concerns (Too Expensive),Last 12 Months
Better Quotation Elsewhere (Other Company Better),Last 12 Months
Better Quotation Elsewhere (Other Company Better),Last 12 Months
Scheduling Conflicts (Unavailable Timeslots),Last 12 Months
Better Quotation Elsewhere (Other Company Better),Last 12 Months
Pricing Concerns (Too Expensive),Last 12 Months
Pricing Concerns (Too Expensive),Last 12 Months
Better Quotation Elsewhere (Other Company Better),Last 12 Months
Pricing Concerns (Too Expensive),Last 12 Months
Better Quotation Elsewhere (Other Company Better),Last 12 Months
Budget Limitations (Reasonable Pricing But Budget Constraints),Last 12 Months
Better Quotation Elsewhere (Other Company Better),Last 12 Months
Pricing Concerns (Too Expensive),Last 12 Months
Better Quotation Elsewhere (Other Company Better),Last 12 Months
Pricing Concerns (Too Expensive),Last 12 Months
Better Quotation Elsewhere (Other Company Better),Last 12 Months
Better Quotation Elsewhere (Other Company Better),Last 12 Months
Pricing Concerns (Too Expensive),Last 12 Months
Better Quotation Elsewhere (Other Company Better),Last 12 Months
Better Quotation Elsewhere (Other Company Better),Last 12 Months
Better Quotation Elsewhere (Other Company Better),Last 12 Months
Pricing Concerns (Too Expensive),Last 12 Months
Budget Limitations (Reasonable Pricing But Budget Constraints),Last 12 Months
Better Quotation Elsewhere (Other Company Better),Last 12 Months
Pricing Concerns (Too Expensive),Last 12 Months
Better Quotation Elsewhere (Other Company Better),Last 12 Months
Better Quotation Elsewhere (Other Company Better),Last 12 Months
Pricing Concerns (Too Expensive),Last 12 Months
Pricing Concerns (Too Expensive),Last 12 Months
Pricing Concerns (Too Expensive),Last 12 Months
Better Quotation Elsewhere (Other Company Better),Last 12 Months
Better Quotation Elsewhere (Other Company Better),Last 12 Months
Better Quotation Elsewhere (Other Company Better),Last 12 Months
Better Quotation Elsewhere (Other Company Better),Last 12 Months
Better Quotation Elsewhere (Other Company Better),Last 12 Months
Better Quotation Elsewhere (Other Company Better),Last 12 Months
Pricing Concerns (Too Expensive),Last 12 Months
Budget Limitations (Reasonable Pricing But Budget Constraints),Last 12 Months
Pricing Concerns (Too Expensive),Last 12 Months
Pricing Concerns (Too Expensive),Last 12 Months
Pricing Concerns (Too Expensive),Last 12 Months
Better Quotation Elsewhere (Other Company Better),Last 12 Months
Better Quotation Elsewhere (Other Company Better),Last 13-24 Months
Better Quotation Elsewhere (Other Company Better),Last 13-24 Months
Pricing Concerns (Too Expensive),Last 13-24 Months
Budget Limitations (Reasonable Pricing But Budget Constraints),Last 13-24 Months
Budget Limitations (Reasonable Pricing But Budget Constraints),Last 13-24 Months
Better Quotation Elsewhere (Other Company Better),Last 13-24 Months
Better Quotation Elsewhere (Other Company Better),Last 13-24 Months
Better Quotation Elsewhere (Other Company Better),Last 13-24 Months
Pricing Concerns (Too Expensive),Last 13-24 Months
Better Quotation Elsewhere (Other Company Better),Last 13-24 Months
Budget Limitations (Reasonable Pricing But Budget Constraints),Last 13-24 Months
Pricing Concerns (Too Expensive),Last 13-24 Months
Better Quotation Elsewhere (Other Company Better),Last 13-24 Months
Pricing Concerns (Too Expensive),Last 13-24 Months
Pricing Concerns (Too Expensive),Last 13-24 Months
Scheduling Conflicts (Unavailable Timeslots),Last 13-24 Months
Better Quotation Elsewhere (Other Company Better),Last 13-24 Months
Pricing Concerns (Too Expensive),Last 13-24 Months
Pricing Concerns (Too Expensive),Last 13-24 Months
Pricing Concerns (Too Expensive),Last 13-24 Months
Better Quotation Elsewhere (Other Company Better),Last 13-24 Months
Better Quotation Elsewhere (Other Company Better),Last 13-24 Months
Pricing Concerns (Too Expensive),Last 13-24 Months
Budget Limitations (Reasonable Pricing But Budget Constraints),Last 13-24 Months
Better Quotation Elsewhere (Other Company Better),Last 13-24 Months
Budget Limitations (Reasonable Pricing But Budget Constraints),Last 13-24 Months
Scheduling Conflicts (Unavailable Timeslots),Last 13-24 Months
Better Quotation Elsewhere (Other Company Better),Last 13-24 Months
Scheduling Conflicts (Unavailable Timeslots),Last 13-24 Months
Slow Responsiveness (Repair.sg),Last 13-24 Months
Scheduling Conflicts (Unavailable Timeslots),Last 13-24 Months
Better Quotation Elsewhere (Other Company Better),Last 13-24 Months
Pricing Concerns (Too Expensive),Last 13-24 Months
Better Quotation Elsewhere (Other Company Better),Last 13-24 Months
Pricing Concerns (Too Expensive),Last 13-24 Months
Scheduling Conflicts (Unavailable Timeslots),Last 13-24 Months
Scheduling Conflicts (Unavailable Timeslots),Last 13-24 Months
Scheduling Conflicts (Unavailable Timeslots),Last 13-24 Months
Scheduling Conflicts (Unavailable Timeslots),Last 13-24 Months
Scheduling Conflicts (Unavailable Timeslots),Last 13-24 Months
Better Quotation Elsewhere (Other Company Better),Last 13-24 Months
Better Quotation Elsewhere (Other Company Better),Last 13-24 Months
Pricing Concerns (Too Expensive),Last 13-24 Months
